filename,width,height,class,xmin,ymin,xmax,ymax
1222.jpg,640,512,car,271,53,287,80
1222.jpg,640,512,car,282,15,297,40
1222.jpg,640,512,person,270,30,276,42
1222.jpg,640,512,person,276,31,281,42
1222.jpg,640,512,person,278,24,284,37
1223.jpg,640,512,car,281,39,295,65
1223.jpg,640,512,car,268,79,284,108
1223.jpg,640,512,person,273,57,279,68
1223.jpg,640,512,person,268,55,274,67
1223.jpg,640,512,person,275,50,282,63
1224.jpg,640,512,car,266,106,282,136
1224.jpg,640,512,person,265,80,272,92
1224.jpg,640,512,person,270,83,277,95
1224.jpg,640,512,person,274,76,281,88
1224.jpg,640,512,car,278,61,294,91
1224.jpg,640,512,person,297,1,303,13
1225.jpg,640,512,person,294,26,300,37
1225.jpg,640,512,car,275,91,292,121
1225.jpg,640,512,person,263,109,270,123
1225.jpg,640,512,person,268,113,275,125
1225.jpg,640,512,person,272,106,278,118
1225.jpg,640,512,car,264,140,280,169
1226.jpg,640,512,car,261,169,278,199
1226.jpg,640,512,person,261,137,268,149
1226.jpg,640,512,car,274,118,292,148
1226.jpg,640,512,person,266,140,272,152
1226.jpg,640,512,person,270,133,276,147
1226.jpg,640,512,person,292,47,298,60
1227.jpg,640,512,person,289,75,295,88
1227.jpg,640,512,person,267,166,274,179
1227.jpg,640,512,car,260,205,276,237
1227.jpg,640,512,person,263,175,269,190
1227.jpg,640,512,person,259,171,266,184
1227.jpg,640,512,car,271,151,289,184
1228.jpg,640,512,person,256,206,263,219
1228.jpg,640,512,car,269,185,287,219
1228.jpg,640,512,person,261,210,267,223
1228.jpg,640,512,person,286,105,292,116
1228.jpg,640,512,person,265,201,271,215
1228.jpg,640,512,car,257,242,274,275
1229.jpg,640,512,car,267,223,286,260
1229.jpg,640,512,person,282,137,289,149
1229.jpg,640,512,person,253,246,260,258
1229.jpg,640,512,person,258,250,265,262
1229.jpg,640,512,person,262,240,269,252
1229.jpg,640,512,car,254,283,272,317
123.jpg,640,512,car,23,326,51,385
123.jpg,640,512,person,39,393,55,404
123.jpg,640,512,person,38,403,54,415
123.jpg,640,512,car,22,255,51,310
1230.jpg,640,512,car,251,324,269,359
1230.jpg,640,512,person,259,278,266,290
1230.jpg,640,512,car,265,259,284,300
1230.jpg,640,512,person,279,168,286,180
1230.jpg,640,512,person,251,284,257,296
1230.jpg,640,512,person,256,289,262,301
1231.jpg,640,512,car,260,300,282,345
1231.jpg,640,512,person,257,322,264,334
1231.jpg,640,512,car,249,369,267,407
1231.jpg,640,512,person,254,333,260,345
1231.jpg,640,512,person,275,206,281,216
1231.jpg,640,512,person,248,329,254,341
1232.jpg,640,512,person,269,285,275,297
1232.jpg,640,512,person,243,418,249,430
1232.jpg,640,512,car,257,389,279,435
1232.jpg,640,512,car,245,463,263,503
1232.jpg,640,512,person,252,412,259,424
1232.jpg,640,512,person,249,425,255,437
1233.jpg,640,512,person,264,327,272,337
1233.jpg,640,512,person,240,466,249,477
1233.jpg,640,512,person,248,472,254,481
1233.jpg,640,512,person,251,459,260,469
1234.jpg,640,512,person,257,422,264,434
1235.jpg,640,512,person,252,476,263,486
1235.jpg,640,512,person,252,476,263,486
1235.jpg,640,512,person,252,476,263,486
1235.jpg,640,512,person,252,476,263,486
1235.jpg,640,512,person,252,476,263,486
124.jpg,640,512,car,45,456,72,504
124.jpg,640,512,car,45,456,72,504
124.jpg,640,512,car,45,456,72,504
1242.jpg,640,512,car,3,230,29,278
1242.jpg,640,512,car,33,172,55,221
1242.jpg,640,512,car,395,219,417,271
1242.jpg,640,512,person,23,204,35,216
1242.jpg,640,512,person,303,399,317,410
1242.jpg,640,512,truck,225,146,268,255
1242.jpg,640,512,truck,314,190,352,292
1243.jpg,640,512,truck,294,179,329,269
